Date,Open,High,Low,Close,Adj Close,Volume
2020-05-14,41,42.35,40.05,40.15,38.24,1103226
2020-05-13,41.3,41.5,39.7,40.5,38.57,740573
2020-05-12,39.6,40,38.8,39.85,37.95,562626
2020-05-11,40.9,41.3,39.7,39.8,37.9,376800
2020-05-08,40.95,41,40,40.75,38.81,868511
2020-05-07,38,41,38,40.45,38.52,538660
2020-05-06,40.3,41,39.55,39.9,38,693205
2020-05-05,41.85,42.5,40.1,40.3,38.38,1033019
2020-05-04,41.7,42.9,41.1,41.4,39.43,1078568
2020-04-30,41.5,45.6,41.5,44.6,42.48,4349174
2020-04-29,40,41.7,39.25,41,39.05,1421239
2020-04-28,40.1,40.1,38.5,39.4,37.52,1544978
2020-04-27,40.7,40.7,38.85,39.45,37.57,1563680
2020-04-24,39.8,40.75,39.4,39.9,38,1136324
2020-04-23,40.8,40.8,38.95,39.6,37.71,4206089
2020-04-22,41,41.2,39.9,40.05,38.14,1312632
2020-04-21,42,42.4,40.7,41.2,39.24,740079
2020-04-20,43,46.5,42.2,43.35,41.29,4868305
2020-04-17,42.6,43.3,41.7,42.8,40.76,1054214
2020-04-16,41.2,42,40.85,41.5,39.52,1331571
2020-04-15,41.8,41.85,39.85,40.6,38.67,3158243
2020-04-13,42,42.35,39.85,41.2,39.24,1907230
2020-04-09,43,43,41.5,42,40,1544367
2020-04-08,43,43.85,41.9,42.2,40.19,1836431
2020-04-07,44.35,44.35,41.85,42.55,40.52,1247414
2020-04-03,43.15,44.5,41.75,42.4,40.38,747695
2020-04-01,42.6,43.95,42.4,43.15,41.09,444373
2020-03-31,46,46.15,42,42.7,40.67,1081065
2020-03-30,42.4,44.6,41.95,43.9,41.81,1726103
2020-03-27,47,47.2,41.1,44.4,42.29,1567492
2020-03-26,47.3,47.95,44.5,46,43.81,872164
2020-03-25,44.1,49,44.1,47.25,45,431279
2020-03-24,45,47.3,41.7,46.4,44.19,1208172
2020-03-23,38.1,45.65,37.4,43.75,41.67,1987108
2020-03-20,43.25,50.7,42.5,46.75,44.52,1334768
2020-03-19,40.45,46.4,37.85,44,41.9,3384662
2020-03-18,44,46.7,34.75,42,40,2102371
2020-03-17,45.7,45.7,41.4,42.5,40.48,2736837
2020-03-16,47.9,47.9,42.1,45.65,43.48,1653889
2020-03-13,46,49.75,42.5,47.95,45.67,1113576
2020-03-12,46.05,46.95,43.8,46.15,43.95,1295721
2020-03-11,47.1,49.9,45.85,48.5,46.19,1113884
2020-03-09,51.1,52,46.4,47.3,45.05,1213795
2020-03-06,52.55,53.25,51.8,52.85,50.33,540296
2020-03-05,54.15,55.2,53.15,54.85,52.24,625078
2020-03-04,57.35,57.6,53.5,53.85,51.29,867339
2020-03-03,54.5,58.05,54.5,57.35,54.62,763293
2020-03-02,58.8,59.5,53.65,54.95,52.33,664245
2020-02-28,58.1,59.2,55.9,57.3,54.57,1506071
2020-02-27,60.95,60.95,58.5,60.05,57.19,434378
2020-02-26,61,61.95,60.2,60.6,57.71,1175307
2020-02-25,63.1,63.5,61,61.45,58.52,586239
2020-02-24,63,63.4,62.2,62.9,59.9,393742
2020-02-20,64.6,65.45,62.8,63.15,60.14,754557
2020-02-19,66.5,67.35,64.2,64.6,61.52,712089
2020-02-18,65.25,68.4,64.8,65.7,62.57,5556529
2020-02-17,62.8,63.9,62.55,63.15,60.14,249796
2020-02-14,63.6,64.5,62.55,62.85,59.86,207531
2020-02-13,64,64.1,62.8,63.6,60.57,256836
2020-02-12,63.9,64.5,62.8,64.1,61.05,869723
2020-02-11,65.45,65.8,63.7,63.95,60.9,591840
2020-02-10,65.4,65.8,64.15,65,61.9,1315357
2020-02-07,63.2,66.25,62.1,65.35,62.24,975330
2020-02-06,62.25,63.8,61.75,62.9,59.9,559858
2020-02-05,63.95,65,61.5,61.9,58.95,912844
2020-02-04,62.35,66.8,61.55,63.2,60.19,2101057
2020-02-03,62,62.9,59.55,61.9,58.95,319703
2020-01-31,64.8,64.8,62.8,63.05,60.05,342262
2020-01-30,66.2,66.35,64.2,64.45,61.38,296655
2020-01-29,67.15,67.9,65.7,66.1,62.95,731551
2020-01-28,67.45,68.1,66.55,66.95,63.76,506183
2020-01-27,66.7,67.6,66.4,67,63.81,437083
2020-01-24,66.65,68.9,66.65,67.5,64.29,1256925
2020-01-23,66.55,67.5,66.35,66.85,63.67,403235
2020-01-22,67.4,67.4,66.25,66.35,63.19,234208
2020-01-21,66.4,67.2,66.05,66.3,63.14,340244
2020-01-20,67.5,68,66.05,66.2,63.05,397301
2020-01-17,67.35,68.25,67,67.45,64.24,869257
2020-01-16,68,68.15,67.25,67.6,64.38,430168
2020-01-15,67.1,68.1,67.1,67.45,64.24,434853
2020-01-14,68.4,68.4,67.3,67.45,64.24,560576
2020-01-13,68.75,69.6,67.8,68.2,64.95,512208
2020-01-10,69.9,71.45,68,68.4,65.14,894515
2020-01-09,72.1,72.25,69.2,69.4,66.09,763997
2020-01-08,68.5,72.5,68.35,71.2,67.81,935709
2020-01-07,67.5,70.5,67.3,70.1,66.76,819939
2020-01-06,70.15,70.15,66.55,67.05,63.86,719957
2020-01-03,69.9,71.45,69.65,70.2,66.86,1021494
2020-01-02,69.15,71.4,69.05,69.5,66.19,1604845
2020-01-01,69.55,70.1,68.65,69.05,65.76,281629
2019-12-31,69.6,70,68.8,69.35,66.05,443449
2019-12-30,69.8,69.8,68.9,69.45,66.14,216031
2019-12-27,69.6,70.2,69,69.3,66,288797
2019-12-26,69.95,70.05,69.35,69.95,66.62,164065
2019-12-24,69.5,70,69.05,69.75,66.43,258885
2019-12-23,70.15,70.6,68.9,69.25,65.95,357749
2019-12-20,69.85,70.7,69.6,70.2,66.86,374833
2019-12-19,69.9,71.05,69.15,69.95,66.62,768027
2019-12-18,70.95,71.8,69.5,69.9,66.57,979239
2019-12-17,71.2,71.85,70.2,70.95,67.57,334983
2019-12-16,70.7,71.8,70.1,70.55,67.19,273669
2019-12-13,71.45,71.7,70.25,71.35,67.95,391546
2019-12-12,69.25,71.3,68.8,70.05,66.71,766166
2019-12-11,70.5,71.3,68,69.05,65.76,547866
2019-12-10,75,75,69.5,70.05,66.71,906941
2019-12-09,73.5,75.9,72.3,75.1,71.52,479368
2019-12-06,77,77.4,72.1,73.3,69.81,606172
2019-12-05,79,79.05,76.1,76.8,73.14,475069
2019-12-04,75,79,74.4,78.65,74.9,1793902
2019-12-03,76.9,77.5,74.55,75.5,71.9,854676
2019-12-02,73.95,77,72.6,76.25,72.62,781843
2019-11-29,73.3,77.5,72.8,73.3,69.81,1134209
2019-11-28,73.7,75.8,72.2,72.55,69.09,447930
2019-11-27,76,76.65,73.2,73.5,70,371501
2019-11-26,73,76.95,72.7,76.25,72.62,1747652
2019-11-25,69.8,73,69.8,72.65,69.19,543019
2019-11-22,70.45,70.9,69.1,70.1,66.76,397574
2019-11-21,71.75,72.5,70.1,70.15,66.81,368822
2019-11-20,72.7,73.9,71.1,71.75,68.33,596636
2019-11-19,70,72.5,70,71.85,68.43,277187
2019-11-18,71.2,72.4,69.2,70.5,67.14,468287
2019-11-15,71,72.5,69.3,70.75,67.38,429071
2019-11-14,72,73.3,69.4,70.4,67.05,554940
2019-11-13,73.1,74.25,71.1,71.8,68.38,775363
2019-11-11,76.7,76.9,73.55,74.05,70.52,623751
2019-11-08,78.25,80,76,76.55,72.9,1409120
2019-11-07,75.85,79.6,73.2,78.85,75.09,2146493
2019-11-06,73,77,72,75.1,71.52,1944970
2019-11-05,73.8,74.8,72.2,73.15,69.67,760116
2019-11-04,75.4,76.85,72.5,73.2,69.71,4880455
2019-11-01,68.4,71.9,68.1,70.3,66.95,1970968
2019-10-31,68,69.8,68,68.05,64.81,815938
2019-10-30,67,68.4,65.95,67.9,64.67,846832
2019-10-29,66.4,68.8,66.4,66.95,63.76,445425
2019-10-27,67.4,67.7,66.5,66.7,63.52,65593
2019-10-25,68.4,68.4,66.5,67.4,64.19,193660
2019-10-24,68.4,68.4,66.6,68,64.76,374284
2019-10-23,67,68.35,66.1,67.95,64.71,523353
2019-10-22,67.4,68.9,66.6,67.65,64.43,763381
2019-10-18,66.4,68.9,66.4,68.55,65.29,686912
2019-10-17,64.65,66.6,63.2,66.4,63.24,891887
2019-10-16,63.6,65.45,63,64.7,61.62,514890
2019-10-15,60.05,64,59.7,63.05,60.05,1249666
2019-10-14,60.55,61,59.5,59.75,56.9,196307
2019-10-11,61.5,62,60.3,60.95,58.05,220200
2019-10-10,61.45,62.15,60.75,61.3,58.38,186567
2019-10-09,60.85,63.4,60.8,61.6,58.67,605293
2019-10-07,58.7,60.6,57.8,60.15,57.29,361496
